ID,state,Area_name,Rural_Urban2003,Urban_2003,Rural_urban2013,Urban_2013,Less_highSch1970,HighSch1970,Somecoll1970,Bachelors1970,Percent_lesshighSch1970,Percent_highsch1970,Percent_somecoll1970,Percent_Bachelors1970,Less_highSch1980,Highsch1980,Somecoll1980,Bachelors1980,Percent_lesshighSch1980,Percent_highsch1980,SomeColl1980,Percent_Bachelors1980,Less_highSch1990,Highsch1990,Some_orAssociate1990,Bachelors1990,Percent_lesshighSch1990,Percent_highschl1990,Percent_orAssociate_deg1990,Percent_Bachalors1990,Less_highSch2000,HighSch_dip2000,Some_orAssociate2000,Bachelors2000,Percent_lesshighSch2000,Percent_highsch2000,Percent_orAssociate_deg2000,Percent_Bachalors2000,Less_highSch2015_19,HighSch_dip2015_19,SomeColl2015_19,Bachelors2015_19,Percent_lesshighSch2015_19,Percent_highsch2015_19,Percent_orAssociate_deg2015_19,Percent_Bachalors2015_19
36073,NY,Orleans County,1,1,1,1,"10,936","6,065","1,618","1,373",54.7,30.3,8.1,6.9,"8,563","8,873","2,749","2,207",38.2,39.6,12.3,9.9,"7,572","10,188","5,941","2,853",28.5,38.4,22.4,10.7,"6,846","11,519","6,912","3,766",23.6,39.7,23.8,13.0,"3,620","11,300","9,803","4,776",12.3,38.3,33.2,16.2
36075,NY,Oswego County,2,2,2,2,"26,475","16,076","3,955","3,945",52.5,31.9,7.8,7.8,"22,311","24,626","7,371","6,619",36.6,40.4,12.1,10.9,"18,202","29,520","14,900","9,250",25.3,41.1,20.7,12.9,"14,895","31,396","18,891","10,983",19.6,41.2,24.8,14.4,"9,455","30,006","25,429","15,203",11.8,37.5,31.7,19.0
36077,NY,Otsego County,6,5,7,8,"13,056","9,654","3,374","3,559",44.0,32.6,11.4,12.0,"10,777","12,061","5,140","5,420",32.3,36.1,15.4,16.2,"8,185","13,044","8,152","7,298",22.3,35.6,22.2,19.9,"6,605","13,461","10,194","8,548",17.0,34.7,26.3,22.0,"3,308","12,494","11,735","12,402",8.3,31.3,29.4,31.1
36079,NY,Putnam County,1,1,1,1,"9,983","12,230","4,283","3,875",32.9,40.3,14.1,12.8,"10,239","18,540","7,640","8,811",22.6,41.0,16.9,19.5,"7,379","17,003","15,086","15,233",13.5,31.1,27.6,27.8,"6,361","18,151","18,221","21,891",9.8,28.1,28.2,33.9,"4,930","19,139","18,549","27,946",7.0,27.1,26.3,39.6
36081,NY,Queens County,1,1,1,1,"607,049","403,384","115,038","127,506",48.4,32.2,9.2,10.2,"459,941","423,064","170,474","192,969",36.9,33.9,13.7,15.5,"389,662","401,918","280,850","278,026",28.9,29.8,20.8,20.6,"387,181","418,381","337,068","366,872",25.6,27.7,22.3,24.3,"295,810","453,171","367,155","529,260",18.0,27.5,22.3,32.2
36083,NY,Rensselaer County,2,2,2,2,"40,946","26,186","7,517","7,647",49.8,31.8,9.1,9.3,"29,956","32,844","13,093","12,217",34.0,37.3,14.9,13.9,"21,756","32,103","24,717","19,094",22.3,32.9,25.3,19.5,"15,132","32,545","28,763","23,793",15.1,32.5,28.7,23.7,"9,071","32,369","34,519","35,776",8.1,29.0,30.9,32.0
36085,NY,Richmond County,1,1,1,1,"77,020","56,552","13,176","14,655",47.7,35.0,8.2,9.1,"66,033","82,405","30,401","31,025",31.5,39.3,14.5,14.8,"52,578","86,330","55,714","50,953",21.4,35.2,22.7,20.7,"51,163","98,845","75,673","68,114",17.4,33.6,25.8,23.2,"37,207","100,452","81,026","111,976",11.3,30.4,24.5,33.9
36087,NY,Rockland County,1,1,1,1,"43,642","40,528","14,587","22,252",36.1,33.5,12.1,18.4,"35,312","50,534","26,370","38,921",23.4,33.4,17.4,25.8,"28,406","44,306","41,195","55,990",16.7,26.1,24.2,33.0,"27,016","41,428","46,568","69,000",14.7,22.5,25.3,37.5,"24,008","45,877","50,052","83,654",11.8,22.5,24.6,41.1
36089,NY,St. Lawrence County,5,8,4,5,"26,897","16,413","6,449","5,243",48.9,29.8,11.7,9.5,"21,293","21,940","8,607","7,968",35.6,36.7,14.4,13.3,"17,587","24,510","13,462","9,854",26.9,37.5,20.6,15.1,"14,577","26,494","17,604","11,526",20.8,37.7,25.1,16.4,"8,125","26,380","20,091","17,061",11.3,36.8,28.0,23.8
36091,NY,Saratoga County,2,2,2,2,"27,105","21,919","6,945","7,448",42.7,34.6,11.0,11.7,"23,617","33,027","15,061","16,381",26.8,37.5,17.1,18.6,"19,694","36,908","30,121","29,216",17.0,31.8,26.0,25.2,"15,929","39,112","38,296","41,678",11.8,29.0,28.4,30.9,"9,735","40,531","45,288","67,456",6.0,24.9,27.8,41.4
36093,NY,Schenectady County,2,2,2,2,"37,374","33,680","9,449","13,061",39.9,36.0,10.1,14.0,"26,932","35,700","14,597","17,293",28.5,37.8,15.4,18.3,"19,360","33,425","24,581","23,056",19.3,33.3,24.5,23.0,"15,135","30,812","27,403","26,218",15.2,30.9,27.5,26.3,"9,914","31,497","31,026","34,238",9.3,29.5,29.1,32.1
