"","FIPS","CTYNAME","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","IA_MALE","IA_FEMALE","AA_MALE","AA_FEMALE","NA_MALE","NA_FEMALE","TOM_MALE","TOM_FEMALE","PCT_MALE","PCT_FEMALE","PCT_WA_MALE","PCT_WA_FEMALE","PCT_BA_MALE","PCT_BA_FEMALE","PCT_IA_MALE","PCT_IA_FEMALE","PCT_AA_MALE","PCT_AA_FEMALE","PCT_NA_MALE","PCT_NA_FEMALE","PCT_TOM_MALE","PCT_TOM_FEMALE","PCT_BY_F_WA_FEMALE","PCT_BY_F_BA_FEMALE","PCT_BY_F_IA_FEMALE","PCT_BY_F_AA_FEMALE","PCT_BY_F_NA_FEMALE","PCT_BY_F_TOM_FEMALE"
"11",36021,"Columbia County",51436,25520,25916,23067,23778,1503,1095,86,69,431,551,23,11,410,412,0.496150556030796,0.503849443969205,0.448460222412318,0.46228322575628,0.0292207792207792,0.0212885916478731,0.00167198071389688,0.00134147289835913,0.00837934520569251,0.0107123415506649,0.000447157632786375,0.000213857998289136,0.00797107084532234,0.00800995411773855,0.91750270103411,0.0422518907238771,0.00266244790862787,0.0212609970674487,0.000424448217317487,0.0158975150486186
"12",36023,"Cortland County",40104,19429,20675,18401,19707,480,341,78,82,164,252,6,6,300,287,0.484465389986036,0.515534610013964,0.458832036704568,0.4913973668462,0.0119688809096349,0.00850289247955316,0.00194494314781568,0.00204468382206264,0.00408936764412527,0.00628366247755835,0.000149611011370437,0.000149611011370437,0.00748055056852184,0.00715639337721923,0.953180169286578,0.0164933494558646,0.00396614268440145,0.0121886336154776,0.000290205562273277,0.0138814993954051
"13",36025,"Delaware County",38307,19401,18906,18380,18100,534,293,74,68,187,234,11,12,215,199,0.506460960137834,0.493539039862166,0.479807868013679,0.472498498968857,0.0139400109640536,0.00764873260761741,0.0019317618189887,0.00177513248231394,0.00488161432636333,0.00610854413031561,0.000287153783903725,0.000313258673349518,0.00561255123084554,0.00519487299971285,0.957368031312811,0.0154977255897599,0.00359674177509785,0.0123770231672485,0.000634719136781974,0.0105257590183011
"14",36027,"Dutchess County",250295,123729,126566,100802,104537,15420,13858,569,549,4395,4972,106,106,2437,2544,0.494332687428834,0.505667312571166,0.402732775325116,0.417655166903054,0.0616073033820092,0.0553666673325476,0.00227331748536727,0.00219341177410655,0.0175592800495415,0.0198645598194131,0.000423500269681775,0.000423500269681775,0.0097365109171178,0.0101640064723626,0.825948516979284,0.109492280707299,0.00433765782279601,0.0392838519033548,0.000837507703490669,0.0201001848837761
"15",36029,"Erie County",766367,366959,399408,300203,321395,45358,54820,2485,2787,13432,14314,148,164,5333,5928,0.478829333726531,0.52117066627347,0.391722242737487,0.419374790407207,0.0591857426011297,0.0715323076280685,0.00324257177044419,0.00363663884274767,0.0175268507125176,0.0186777353409006,0.000193118962585811,0.000213996688270763,0.00695880694236573,0.0077351973662749,0.80467842406762,0.137253134639266,0.00697782718423266,0.0358380402996435,0.000410607699395105,0.0148419661098426
"16",36031,"Essex County",32153,16661,15492,15330,15044,890,84,124,54,119,139,10,8,188,163,0.518178708052126,0.481821291947874,0.476782881846173,0.467887910925886,0.0276801542624327,0.00261250894162287,0.00385656081858613,0.00167947003390041,0.00370105433396573,0.00432308027244736,0.000311012969240817,0.000248810375392654,0.00584704382172737,0.00506951139862532,0.971081848696101,0.00542215336948102,0.0034856700232378,0.0089723728375936,0.000516395558998193,0.0105215595145882
"17",36033,"Franklin County",42075,23430,18645,18541,16714,3060,96,1499,1511,103,99,4,6,223,219,0.556862745098039,0.443137254901961,0.440665478312537,0.397243018419489,0.0727272727272727,0.00228163992869875,0.0356268568033274,0.0359120617944147,0.00244800950683304,0.00235294117647059,0.000095068330362448,0.000142602495543672,0.00530005941770648,0.00520499108734403,0.896433360150174,0.00514883346741754,0.081040493429874,0.00530973451327434,0.000321802091713596,0.0117457763475463
"18",36035,"Fulton County",44547,21996,22551,20837,21729,666,324,77,60,137,185,8,7,271,246,0.493770624284464,0.506229375715536,0.467753159584259,0.487776954677083,0.0149505017172874,0.00727321705165331,0.0017285114598065,0.00134689204660246,0.00307540350640896,0.00415291714369093,0.000179585606213662,0.000157137405436954,0.0060834624104878,0.00552225739107011,0.963549288279899,0.0143674338166822,0.00266063589197818,0.0082036273335994,0.000310407520730788,0.0109086071571105
"19",36037,"Genesee County",47721,23751,23970,22033,22632,957,551,265,269,165,172,4,6,327,340,0.497705412711385,0.502294587288615,0.461704490685442,0.474256616583894,0.0200540642484441,0.0115462794157708,0.00555311078979904,0.00563693133002242,0.0034575972842145,0.00360428322960541,0.0000838205402233817,0.000125730810335073,0.00685232916326146,0.00712474591898745,0.944180225281602,0.0229870671672924,0.0112223612849395,0.00717563621193158,0.000250312891113892,0.0141843971631206
"20",36039,"Greene County",40977,21418,19559,18588,18375,2116,517,95,92,280,248,11,9,328,318,0.5226834565732,0.4773165434268,0.453620323596164,0.44842228567245,0.051638724162335,0.012616833833614,0.00231837372184396,0.00224516192010152,0.00683310149596115,0.00605217561070845,0.000268443273055617,0.000219635405227323,0.0080044903238402,0.00776045098469873,0.939465207832711,0.0264328442149394,0.00470371695894473,0.012679584845851,0.000460146224244593,0.016258499923309
