FIPS_Code,State,Area_name,Civilian_labor_force_2019,Employed_2019,Unemployed_2019,Unemployment_rate_2019,Civilian_labor_force_2020,Employed_2020,Unemployed_2020,Unemployment_rate_2020,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_T,Rural_urban_Continuum_Code,Urban_Influence_Code,Est_Total_Pop_Ct,CI90_LB_Total_Pop_Ct,CI90_UB_Total_Pop_Ct,Est_Total_Pop_Pct,Rural_urban_Continuum_Desc,Urban_Influence_Desc,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,PCT_MALE,PCT_FEMALE,PCT_WA_MALE,PCT_WA_FEMALE,PCT_BA_MALE,PCT_BA_FEMALE,PCT_IA_MALE,PCT_IA_FEMALE,PCT_AA_MALE,PCT_AA_FEMALE,PCT_NA_MALE,PCT_NA_FEMALE,PCT_TOM_MALE,PCT_TOM_FEMALE,PCT_BY_F_WA_FEMALE,PCT_BY_F_BA_FEMALE,PCT_BY_F_IA_FEMALE,PCT_BY_F_AA_FEMALE,PCT_BY_F_NA_FEMALE,PCT_BY_F_TOM_FEMALE,year,agecat,racecat,sexcat,iprcat,NIPR,nipr_moe,NUI,nui_moe,NIC,nic_moe,PCTUI,pctui_moe,PCTIC,pctic_moe,PCTELIG,pctelig_moe,PCTLIIC,pctliic_moe
36041,NY,Hamilton County,2207,2081,126,5.7,2141,1972,169,7.9,60148,83.49481964,8,7,433,325,541,9.8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a","Noncore adjacent to a small metro and does not contain a town of at least 2,50",3949,1973,1976,1906,1907,27,16,9,6,9,20,2,1,20,26,0.499620157,0.500379843,0.482653836,0.482907065,0.006837174,0.004051659,0.002279058,0.001519372,0.002279058,0.005064573,0.000506457,0.000253229,0.005064573,0.006583945,0.965080972,0.008097166,0.003036437,0.010121457,0.000506073,0.013157895,2018,1,0,2,0,1230,0,72,16,1158,16,5.9,1.3,94.1,1.3,5.9,1.3,94.1,1.3
36043,NY,Herkimer County,27816,26506,1310,4.7,27477,25227,2250,8.2,55778,77.42858124,2,2,8235,6744,9726,13.7,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,51110,25161,25949,24301,25099,395,320,77,85,123,180,9,5,256,260,0.492291137,0.507708863,0.475464684,0.491078067,0.007728429,0.006261006,0.001506554,0.00166308,0.002406574,0.003521816,0.000176091,9.78282E-05,0.005008805,0.005087067,0.967243439,0.012331882,0.003275656,0.006936683,0.000192686,0.010019654,2018,1,0,2,0,17765,0,787,157,16978,157,4.4,0.9,95.6,0.9,4.4,0.9,95.6,0.9
36045,NY,Jefferson County,43737,41399,2338,5.3,43295,39542,3753,8.7,53829,74.72306061,3,2,15168,13196,17140,14.6,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,87167,46014,41153,39838,37302,3935,1930,329,262,813,729,131,130,968,800,0.527883259,0.472116741,0.457030757,0.427937178,0.045143231,0.022141407,0.003774364,0.003005725,0.009326924,0.008363257,0.001502862,0.00149139,0.01110512,0.009177785,0.906422375,0.046898161,0.006366486,0.017714383,0.003158943,0.019439652,2018,1,0,2,0,31025,0,1305,262,29720,262,4.2,0.8,95.8,0.8,4.2,0.8,95.8,0.8
36047,NY,Kings County,1196433,1148750,47683,4,1151130,1006852,144278,12.5,66501,92.31378174,1,1,446923,424263,469583,17.7,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,2064996,958676,1106320,494647,525089,305976,404012,9583,9671,126417,141265,1199,1131,20854,25152,0.464250778,0.535749222,0.239538963,0.25428088,0.148172684,0.195647837,0.004640687,0.004683302,0.061219005,0.068409333,0.000580631,0.000547701,0.010098809,0.012180169,0.47462669,0.36518548,0.008741594,0.127689095,0.001022308,0.022734833,2018,1,0,2,0,852269,0,67944,5348,784325,5348,8,0.6,92,0.6,8,0.6,92,0.6
36049,NY,Lewis County,11540,10926,614,5.3,11389,10515,874,7.7,56599,78.56825256,6,6,3208,2553,3863,12.4,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",21293,10742,10551,10468,10302,85,60,39,30,39,51,12,9,99,99,0.504485042,0.495514958,0.491616963,0.483820974,0.003991922,0.002817827,0.001831588,0.001408914,0.001831588,0.002395153,0.000563565,0.000422674,0.004649415,0.004649415,0.976400341,0.005686665,0.002843332,0.004833665,0.000853,0.009382997,2018,1,0,2,0,7600,0,371,77,7229,77,4.9,1,95.1,1,4.9,1,95.1,1
36051,NY,Livingston County,30584,29339,1245,4.1,29831,27727,2104,7.1,60268,83.66139984,1,1,7916,6866,8966,13.8,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,53930,27005,26925,24818,25657,1337,370,161,91,342,436,18,10,329,361,0.500741702,0.499258298,0.460189134,0.475746338,0.024791396,0.006860745,0.002985351,0.001687373,0.006341554,0.008084554,0.000333766,0.000185426,0.006100501,0.006693862,0.952906221,0.013741876,0.003379759,0.016193129,0.000371402,0.013407614,2018,1,0,2,0,18043,0,762,153,17281,153,4.2,0.8,95.8,0.8,4.2,0.8,95.8,0.8
36053,NY,Madison County,32765,31355,1410,4.3,32437,29908,2529,7.8,61713,85.66728973,2,2,6488,5067,7909,9.8,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,59979,29332,30647,27840,29097,681,611,185,233,254,341,13,8,359,357,0.48903783,0.51096217,0.464162457,0.485119792,0.011353974,0.010186899,0.003084413,0.003884693,0.004234816,0.005685323,0.000216743,0.00013338,0.005985428,0.005952083,0.949424087,0.019936699,0.007602702,0.011126701,0.000261037,0.011648775,2018,1,0,2,0,20219,0,931,187,19288,187,4.6,0.9,95.4,0.9,4.6,0.9,95.4,0.9
36055,NY,Monroe County,360928,346547,14381,4,359299,328525,30774,8.6,62159,86.28640747,1,1,90791,83386,98196,12.7,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,615760,293403,322357,234079,251911,41765,50832,1151,1350,10640,11759,186,207,5582,6298,0.476489217,0.523510783,0.380146486,0.40910582,0.067826751,0.082551643,0.001869235,0.002192413,0.01727946,0.019096726,0.000302066,0.00033617,0.00906522,0.010228011,0.78146589,0.157688525,0.004187903,0.03647819,0.000642145,0.019537345,2018,1,0,2,0,228341,0,10225,1541,218116,1541,4.5,0.7,95.5,0.7,4.5,0.7,95.5,0.7
36057,NY,Montgomery County,22185,21103,1082,4.9,22032,20098,1934,8.8,52092,72.31183624,4,5,7652,6285,9019,15.9,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,39889,19509,20380,18274,19164,655,542,107,130,153,217,34,20,286,307,0.489082203,0.510917797,0.458121287,0.480433202,0.016420567,0.013587706,0.002682444,0.003259044,0.003835644,0.005440096,0.000852365,0.000501391,0.007169896,0.007696357,0.94033366,0.026594701,0.006378803,0.010647694,0.000981354,0.015063788,2018,1,0,2,0,14575,0,775,161,13800,161,5.3,1.1,94.7,1.1,5.3,1.1,94.7,1.1
36059,NY,Nassau County,708259,684992,23267,3.3,698942,640035,58907,8.4,117767,163.4790039,1,1,74435,64934,83936,5.6,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,1118704,539519,579185,402867,425849,67686,78635,3167,2831,57132,62309,507,518,8160,9043,0.48227145,0.51772855,0.360119388,0.380662803,0.06050394,0.070291158,0.002830954,0.002530607,0.051069809,0.055697486,0.000453203,0.000463036,0.007294155,0.008083461,0.735255575,0.135768364,0.004887903,0.107580479,0.00089436,0.015613319,2018,1,0,2,0,416505,0,19144,2284,397361,2284,4.6,0.5,95.4,0.5,4.6,0.5,95.4,0.5
