"","FIPS","CENSUS_F_WA","CENSUS_F_BA","CENSUS_F_IA","CENSUS_F_AA","CENSUS_F_NA","CENSUS_F_TOM","CENSUS_M_WA","CENSUS_M_BA","CENSUS_M_IA","CENSUS_M_AA","CENSUS_M_NA","CENSUS_M_TOM","Female_AA","Female_BA","Female_IA","Female_NA","Female_TOM","Female_WA","Male_AA","Male_BA","Male_IA","Male_NA","Male_TOM","Male_WA","DIFF_F_WA","DIFF_F_BA","DIFF_F_IA","DIFF_F_AA","DIFF_F_NA","DIFF_F_TOM","DIFF_M_WA","DIFF_M_BA","DIFF_M_IA","DIFF_M_AA","DIFF_M_NA","DIFF_M_TOM"
"33",36065,0.448684930197486,0.0270288927712315,0.00164616046347382,0.0193078691780349,0.000297370922433981,0.0080714964660652,0.429371750824408,0.0390246233744165,0.00182139689990813,0.0170457260895193,0.000323921897651301,0.00737586091537142,0.00680879562451166,0.0175242772630874,0,0,0.0222123004799643,0.457640361647505,0.0113851992409867,0.0198682888715258,0,0,0.0228820180823753,0.441678758790044,0.00895543145001915,-0.00950461550814409,-0.00164616046347382,-0.0124990735535232,-0.000297370922433981,0.0141408040138991,0.0123070079656358,-0.0191563345028907,-0.00182139689990813,-0.00566052684853255,-0.000323921897651301,0.0155061571670038
"34",36067,0.428853754940711,0.058663064502565,0.00465951139517282,0.0198075224960054,0.00024703557312253,0.0115108064923051,0.394071671852662,0.0498328567824405,0.00421274493314271,0.0174580565133294,0.00024703557312253,0.0104359389454209,0.00585456722772936,0.0898143836072118,0,0,0.0554853303173442,0.390858891623977,0.00498968797817843,0.0666622313884638,0.000798350076508549,0,0.0455724835340297,0.339964074246557,-0.0379948633167344,0.0311513191046468,-0.00465951139517282,-0.013952955268276,-0.00024703557312253,0.0439745238250391,-0.0541075976061046,0.0168293746060233,-0.00341439485663416,-0.012468368535151,-0.00024703557312253,0.0351365445886088
"35",36069,0.486070532523813,0.0121102192872892,0.00179209523085445,0.00770057890106548,0.000238946030780593,0.0068968513429853,0.456104528027283,0.0134787283726689,0.00192242942946205,0.00600623431916673,0.000260668397215193,0.00741818813741569,0,0,0,0,0,0.531803097345133,0,0,0,0,0.00331858407079646,0.464878318584071,0.0457325648213196,-0.0121102192872892,-0.00179209523085445,-0.00770057890106548,-0.000238946030780593,-0.0068968513429853,0.00877379055678751,-0.0134787283726689,-0.00192242942946205,-0.00600623431916673,-0.000260668397215193,-0.00409960406661923
"36",36071,0.403287718052872,0.0656327641282486,0.00414744120624154,0.0160475082488728,0.000552115786567812,0.0119395038845289,0.399892863246178,0.0669111750864324,0.00440378067857659,0.0147362332557742,0.000568547804025187,0.0118803486216824,0.00580706781279847,0.079694364851958,0,0,0.0110028653295129,0.386284622731614,0.00385864374403056,0.067163323782235,0,0,0.0970391595033429,0.349149952244508,-0.0170030953212575,0.0140616007237094,-0.00414744120624154,-0.0102404404360743,-0.000552115786567812,-0.000936638555016033,-0.0507429110016698,0.000252148695802548,-0.00440378067857659,-0.0108775895117436,-0.000568547804025187,0.0851588108816605
"37",36073,0.45911358966833,0.0305840915761667,0.00369826827120634,0.00302318755503375,0.000264162019371881,0.00710302318755503,0.44414440857059,0.0370120340475492,0.00416788963897857,0.00284707954211917,0.00038156736131494,0.00766069856178456,0,0,0,0,0.00801749271137026,0.544460641399417,0,0,0,0,0,0.447521865889213,0.0853470517310869,-0.0305840915761667,-0.00369826827120634,-0.00302318755503375,-0.000264162019371881,0.000914469523815228,0.00337745731862288,-0.0370120340475492,-0.00416788963897857,-0.00284707954211917,-0.00038156736131494,-0.00766069856178456
"38",36075,0.48411667697382,0.00486497629354772,0.0025870954442383,0.00435992578849722,0.000195835910121624,0.0056895485466914,0.480024737167594,0.00683364254792826,0.00237064522778809,0.00274170274170274,0.000175221603793032,0.00603999175427747,0,0,0,0,0.0128205128205128,0.543223443223443,0,0,0,0,0.0043956043956044,0.43956043956044,0.0591067662496234,-0.00486497629354772,-0.0025870954442383,-0.00435992578849722,-0.000195835910121624,0.00713096427382142,-0.0404642976071548,-0.00683364254792826,-0.00237064522778809,-0.00274170274170274,-0.000175221603793032,-0.00164438735867307
"39",36077,0.492518030005014,0.0114929229819893,0.00117628909714991,0.00861969223649196,0.000366385128620464,0.0064985151760577,0.451482895599522,0.0128427629295384,0.00152339079794824,0.00599714605268232,0.000192834278221297,0.00728913571676501,0,0,0,0,0.0975130890052356,0.488874345549738,0,0,0,0,0.0634816753926702,0.350130890052356,-0.00364368445527546,-0.0114929229819893,-0.00117628909714991,-0.00861969223649196,-0.000366385128620464,0.0910145738291779,-0.101352005547166,-0.0128427629295384,-0.00152339079794824,-0.00599714605268232,-0.000192834278221297,0.0561925396759052
"40",36079,0.46225189462288,0.0184891134367858,0.0021893419944665,0.0128834355828221,0.000228557680741008,0.00708528810297125,0.456381571033321,0.0201371346084446,0.00209310718152292,0.00974377481053771,0.000457115361482016,0.00805966558402502,0,0,0,0,0.0353733857383492,0.462099943851769,0,0,0,0,0.0384615384615385,0.464065131948344,-0.000151950771111131,-0.0184891134367858,-0.0021893419944665,-0.0128834355828221,-0.000228557680741008,0.028288097635378,0.00768356091502231,-0.0201371346084446,-0.00209310718152292,-0.00974377481053771,-0.000457115361482016,0.0304018728775134
"41",36081,0.241906777263278,0.113972947319982,0.00606277699422496,0.143982545693704,0.00121287570052647,0.0130469551588323,0.236571085086006,0.0931447966458008,0.00669910966809272,0.13024267123061,0.00108315351952826,0.0120743057194136,0.140295462771033,0.122297897542197,0.00571184154246043,0.000467212845063008,0.0667258908301254,0.184970223406705,0.134267759023459,0.0970025992827296,0.00576448524331261,0.000421149606817359,0.0672194255256145,0.174856052380482,-0.0569365538565729,0.00832495022221477,-0.000350935451764526,-0.00368708292267125,-0.000745662855463461,0.0536789356712931,-0.061715032705524,0.00385780263692878,-0.000934624424780116,0.00402508779284963,-0.0006620039127109,0.0551451198062009
"42",36083,0.448305586579616,0.0378835011131183,0.0015591152021228,0.013147538771747,0.000217376638757505,0.00915230606630737,0.429543733930994,0.0342705514620453,0.0017615003485522,0.0148415774048228,0.000284838354233972,0.00903237412768254,0.00343087790110999,0.0496468213925328,0,0,0.0185671039354188,0.470030272452069,0,0.0256306760847629,0,0,0.0183652875882947,0.414328960645812,0.0217246858724526,0.0117633202794145,-0.0015591152021228,-0.00971666087063704,-0.000217376638757505,0.0094147978691114,-0.0152147732851818,-0.00863987537728242,-0.0017615003485522,-0.0148415774048228,-0.000284838354233972,0.00933291346061211
"43",36085,0.390434517979393,0.0599364244778547,0.00309182647923055,0.0577192089629722,0.000483337638192368,0.00859778380742192,0.364487726037066,0.0503029171600206,0.00315320268725497,0.053376842245244,0.000554943214220867,0.00786126931112878,0.0290711604504433,0.0543486941937545,0.00311476719111892,0,0.0280728376327769,0.40503953358358,0.0271943135532306,0.0446250299496845,0.00315470010382557,0,0.0281327370018369,0.377246226339749,0.0146050156041866,-0.0055877302841002,0.0000229407118883733,-0.028648048512529,-0.000483337638192368,0.019475053825355,0.0127585003026831,-0.00567788721033603,0.00000149741657059837,-0.0261825286920134,-0.000554943214220867,0.0202714676907081
"44",36087,0.392212546006718,0.0733211319160918,0.002522073168279,0.0370628104824923,0.000619456567647473,0.00878099796866515,0.375768789847348,0.0655578125942761,0.0031495746264154,0.0319945294744675,0.000643591239114258,0.00836668610848535,0.0159704051249662,0.0572047279617432,0,0,0.132094198321754,0.333303257240819,0.0164215465126771,0.0555806189659839,0.00586483804024181,0,0.0195795362266534,0.363980871605161,-0.0589092887658982,-0.0161164039543486,-0.002522073168279,-0.0210924053575261,-0.000619456567647473,0.123313200353089,-0.0117879182421871,-0.00997719362829213,0.00271526341382641,-0.0155729829617905,-0.000643591239114258,0.0112128501181681
"45",36089,0.468727773826458,0.00517869843527738,0.00502311522048364,0.00600106685633001,0.000188922475106686,0.00557876955903272,0.46886113086771,0.0231707859174964,0.00526760312944523,0.00532316856330014,0.000544541251778094,0.00613442389758179,0,0,0,0,0.00699545295557887,0.492479888072753,0,0.0115424973767051,0,0,0.0118922700244841,0.477089891570479,0.0237521142462947,-0.00517869843527738,-0.00502311522048364,-0.00600106685633001,-0.000188922475106686,0.00141668339654616,0.0082287607027694,-0.0116282885407913,-0.00526760312944523,-0.00532316856330014,-0.000544541251778094,0.00575784612690229
"46",36091,0.477869409038839,0.00887919014321776,0.00117663523789284,0.0143684267816694,0.000176236114926681,0.00683174116098132,0.458338300772847,0.0103357297989353,0.00125956988021128,0.0129740881076906,0.00019696977550629,0.00759370318728197,0,0,0,0,0.00602828657546951,0.491537213076745,0,0,0,0,0.0102017157431022,0.492232784604684,0.0136678040379054,-0.00887919014321776,-0.00117663523789284,-0.0143684267816694,-0.000176236114926681,-0.000803454585511814,0.0338944838318363,-0.0103357297989353,-0.00125956988021128,-0.0129740881076906,-0.00019696977550629,0.00260801255582028
